threshold,fpr,tpr
0.00326242,0.10649,0.416465
0.00325621,0.10712,0.416465
0.0032537,0.10712,0.418886
0.0032532,0.10775,0.418886
0.00324356,0.108381,0.418886
0.00324213,0.109011,0.418886
0.00323166,0.109641,0.418886
0.00323093,0.110271,0.418886
0.00322126,0.110901,0.418886
0.00321909,0.111531,0.418886
0.00321825,0.112161,0.418886
0.00321767,0.112161,0.421308
0.00321559,0.112791,0.421308
0.0032149,0.113422,0.421308
0.00320645,0.113422,0.423729
0.00320017,0.114052,0.423729
0.00319402,0.114052,0.42615
0.00319167,0.114682,0.42615
0.00318215,0.115312,0.42615
0.0031821,0.115942,0.42615
0.00317654,0.116572,0.42615
0.00316283,0.117202,0.42615
0.00316262,0.117832,0.42615
0.00315508,0.118463,0.42615
0.00315304,0.119093,0.42615
0.00314202,0.119723,0.42615
0.00314027,0.120353,0.42615
0.00313825,0.120983,0.42615
0.00313148,0.121613,0.42615
0.00312882,0.121613,0.428571
0.00311969,0.122243,0.428571
0.00311786,0.122243,0.430993
0.00311445,0.122873,0.430993
0.00311216,0.123503,0.430993
0.00310662,0.124134,0.430993
0.00310002,0.124764,0.430993
0.00309659,0.125394,0.430993
0.00309493,0.126024,0.430993
0.00308263,0.126024,0.433414
0.00308121,0.126654,0.433414
0.00308071,0.126654,0.435835
0.00307767,0.127284,0.435835
0.00307339,0.127914,0.435835
0.00307321,0.128544,0.435835
0.00306941,0.128544,0.438257
0.00306629,0.129175,0.438257
0.00306161,0.129175,0.440678
0.00305728,0.129805,0.440678
0.00305609,0.129805,0.443099
0.00305338,0.130435,0.443099
0.00304992,0.130435,0.445521
0.00304902,0.131065,0.445521
0.00304684,0.131695,0.445521
0.00303973,0.132325,0.445521
0.00303446,0.132955,0.445521
0.00302966,0.133585,0.445521
0.00301838,0.134216,0.445521
0.00301523,0.134846,0.445521
0.00301052,0.135476,0.445521
0.00300776,0.136106,0.445521
0.00300478,0.136736,0.445521
0.0029982,0.137366,0.445521
0.00299645,0.137996,0.445521
0.00299328,0.138626,0.445521
0.00299261,0.138626,0.447942
0.00299235,0.139256,0.447942
0.00298237,0.139887,0.447942
0.00297892,0.140517,0.447942
0.00297653,0.140517,0.450363
0.00297604,0.140517,0.452785
0.002973,0.140517,0.455206
0.00297255,0.141147,0.455206
0.00297178,0.141777,0.455206
0.00296729,0.141777,0.457627
0.00296686,0.142407,0.457627
0.00296431,0.143037,0.457627
0.00296195,0.143667,0.457627
0.00296119,0.144297,0.457627
0.00295434,0.144928,0.457627
0.00295276,0.144928,0.460048
0.00295061,0.144928,0.46247
0.00294796,0.145558,0.46247
0.0029448,0.145558,0.464891
0.00294427,0.146188,0.464891
0.00294326,0.146818,0.464891
0.00294247,0.146818,0.467312
0.00292997,0.146818,0.469734
0.0029261,0.146818,0.472155
0.00292432,0.147448,0.472155
0.00291856,0.148078,0.472155
0.0029169,0.148708,0.472155
0.00291604,0.149338,0.472155
0.0028971,0.149338,0.474576
0.00289663,0.149968,0.474576
0.00289378,0.150599,0.474576
0.00288706,0.151229,0.474576
0.00288625,0.151229,0.476998
0.00287646,0.151859,0.476998
0.00287455,0.151859,0.479419
0.00286811,0.152489,0.479419
0.00286083,0.153119,0.479419
0.00285609,0.153749,0.479419
0.00285131,0.154379,0.479419
0.0028509,0.154379,0.48184
0.0028474,0.154379,0.484262
0.00284625,0.155009,0.484262
0.00284433,0.15564,0.484262
0.00284348,0.15627,0.484262
0.00284228,0.1569,0.484262
0.00283844,0.15753,0.484262
0.002838,0.15816,0.484262
0.00283514,0.15879,0.484262
0.0028347,0.15942,0.484262
0.00282607,0.15942,0.486683
0.00281673,0.16005,0.486683
0.00280163,0.160681,0.486683
0.00280123,0.161311,0.486683
0.00279861,0.161941,0.486683
0.0027915,0.162571,0.486683
0.00278333,0.163201,0.486683
0.00278317,0.163201,0.489104
0.00278303,0.163831,0.489104
0.00278054,0.164461,0.489104
0.00277365,0.165091,0.489104
0.00276885,0.165091,0.491525
0.00276143,0.165721,0.491525
0.00275986,0.166352,0.491525
0.00275632,0.166982,0.491525
0.00275123,0.167612,0.491525
0.00275086,0.168242,0.491525
0.00273577,0.168872,0.491525
0.00273461,0.169502,0.491525
0.00273214,0.170132,0.491525
0.00271931,0.170762,0.491525
0.00271508,0.170762,0.493947
0.00271333,0.171393,0.493947
0.00270163,0.172023,0.493947
0.00269943,0.172653,0.493947
0.00269717,0.173283,0.493947
0.00269663,0.173913,0.493947
0.00269438,0.174543,0.493947
0.00269198,0.174543,0.496368
0.00269155,0.174543,0.498789
0.00268774,0.175173,0.498789
0.00268171,0.175803,0.498789
0.00267791,0.176434,0.498789
0.00267449,0.176434,0.501211
0.0026726,0.177064,0.501211
0.00267109,0.177694,0.501211
0.00267102,0.178324,0.501211
0.00266907,0.178954,0.501211
0.00266852,0.179584,0.501211
0.00266485,0.180214,0.501211
0.00266373,0.180214,0.503632
0.00266342,0.180844,0.503632
0.00265128,0.181474,0.503632
0.00264823,0.182105,0.503632
0.00264031,0.182735,0.503632
0.00263489,0.183365,0.503632
0.00263115,0.183995,0.503632
0.002627,0.184625,0.503632
0.00262615,0.184625,0.506053
0.00262528,0.185255,0.506053
0.00262382,0.185885,0.506053
0.00261977,0.186515,0.506053
0.00261732,0.187146,0.506053
0.00261701,0.187776,0.506053
0.00261171,0.188406,0.506053
0.00261156,0.188406,0.508475
0.00260305,0.189036,0.508475
0.00260087,0.189666,0.508475
0.00259963,0.189666,0.510896
0.00259709,0.190296,0.510896
0.00259281,0.190926,0.510896
0.00258869,0.191556,0.510896
0.00258754,0.192187,0.510896
0.00258517,0.192817,0.510896
0.00258344,0.193447,0.510896
0.00258182,0.194077,0.510896
0.00257934,0.194707,0.510896
0.00257729,0.195337,0.510896
0.00257608,0.195967,0.510896
0.00257523,0.196597,0.510896
0.00256899,0.196597,0.513317
0.00256714,0.197227,0.513317
0.00256671,0.197858,0.513317
0.0025666,0.197858,0.515738
0.00256444,0.198488,0.515738
0.00256123,0.199118,0.515738
0.0025609,0.199748,0.515738
0.00255129,0.199748,0.51816
0.0025471,0.200378,0.51816
0.00254406,0.201008,0.51816
0.00253983,0.201008,0.520581
0.00253887,0.201638,0.520581
0.00253809,0.202268,0.520581
0.00253557,0.202899,0.520581
0.00252828,0.203529,0.520581
0.00252822,0.204159,0.520581
0.00252048,0.204789,0.520581
0.00251878,0.205419,0.520581
0.00251833,0.205419,0.523002
0.00250564,0.206049,0.523002
0.00250487,0.206049,0.525424
0.00249929,0.206049,0.527845
0.0024947,0.206049,0.530266
0.00249435,0.206679,0.530266
0.00248979,0.207309,0.530266
0.00248635,0.20794,0.530266
0.00248293,0.20857,0.530266
0.00247908,0.2092,0.530266
0.00247775,0.20983,0.530266
0.00247698,0.21046,0.530266
0.00247618,0.21109,0.530266
0.00247576,0.21172,0.530266
0.00247177,0.21235,0.530266
0.00247083,0.21298,0.530266
0.00246971,0.213611,0.530266
0.00246375,0.214241,0.530266
0.00246214,0.214871,0.530266
0.00245418,0.215501,0.530266
0.002451,0.215501,0.532688
0.00244869,0.216131,0.532688
