threshold,fpr,tpr
0.111239,0.100189,0.423729
0.111226,0.100819,0.423729
0.111006,0.101449,0.423729
0.110634,0.101449,0.42615
0.110203,0.102079,0.42615
0.109693,0.10271,0.42615
0.109682,0.10334,0.42615
0.109354,0.10397,0.42615
0.109057,0.1046,0.42615
0.109007,0.1046,0.428571
0.108698,0.10523,0.428571
0.108601,0.10523,0.430993
0.10854,0.10586,0.430993
0.108488,0.10649,0.430993
0.108325,0.10712,0.430993
0.107585,0.108381,0.430993
0.107525,0.109011,0.430993
0.107439,0.109641,0.430993
0.107253,0.109641,0.433414
0.106744,0.109641,0.435835
0.106707,0.110271,0.435835
0.106084,0.110901,0.435835
0.105868,0.111531,0.435835
0.105502,0.112161,0.435835
0.104572,0.112791,0.435835
0.104536,0.112791,0.438257
0.104212,0.113422,0.438257
0.104066,0.113422,0.440678
0.10405,0.114052,0.440678
0.103959,0.114052,0.443099
0.103794,0.114052,0.445521
0.103601,0.114052,0.447942
0.103589,0.114682,0.447942
0.103493,0.115312,0.447942
0.103452,0.115312,0.450363
0.103286,0.115942,0.450363
0.103238,0.116572,0.450363
0.103238,0.117202,0.450363
0.103063,0.117832,0.450363
0.102859,0.118463,0.450363
0.10283,0.119093,0.450363
0.102545,0.119723,0.450363
0.102307,0.120353,0.450363
0.102,0.120983,0.450363
0.101597,0.121613,0.450363
0.101374,0.121613,0.455206
0.101091,0.122243,0.455206
0.100896,0.122243,0.457627
0.100788,0.122873,0.457627
0.100646,0.123503,0.457627
0.100521,0.124134,0.457627
0.100418,0.124764,0.457627
0.100337,0.124764,0.460048
0.100274,0.126024,0.460048
0.100065,0.126024,0.46247
0.099933,0.126024,0.464891
0.0998102,0.126654,0.464891
0.0997546,0.127284,0.464891
0.0996823,0.127914,0.464891
0.099586,0.128544,0.464891
0.0994275,0.129175,0.464891
0.0994067,0.129175,0.467312
0.0987744,0.129805,0.467312
0.098766,0.129805,0.469734
0.0987609,0.129805,0.472155
0.0986316,0.130435,0.472155
0.0984928,0.131065,0.472155
0.098324,0.132325,0.472155
0.0979654,0.132955,0.472155
0.0979421,0.133585,0.472155
0.0977224,0.133585,0.474576
0.0973786,0.134216,0.474576
0.09716,0.134846,0.474576
0.0970343,0.134846,0.476998
0.0970252,0.135476,0.476998
0.0968871,0.136106,0.476998
0.0967011,0.136736,0.476998
0.0966946,0.137366,0.476998
0.0966079,0.137366,0.479419
0.0965463,0.137996,0.479419
0.0964099,0.138626,0.479419
0.0963707,0.139256,0.479419
0.096367,0.139887,0.479419
0.0959829,0.140517,0.479419
0.0958518,0.141147,0.479419
0.0957566,0.141147,0.48184
0.0957274,0.141777,0.48184
0.095646,0.141777,0.484262
0.095571,0.142407,0.484262
0.0954072,0.143037,0.484262
0.095231,0.143667,0.484262
0.0951677,0.144297,0.484262
0.0950329,0.144928,0.484262
0.094856,0.145558,0.484262
0.0947118,0.146188,0.484262
0.0941758,0.146818,0.484262
0.0939405,0.146818,0.486683
0.0938254,0.147448,0.486683
0.0937606,0.147448,0.489104
0.0937265,0.148078,0.489104
0.0937072,0.148708,0.489104
0.0936854,0.149338,0.489104
0.0936063,0.149968,0.489104
0.0934584,0.150599,0.489104
0.0934526,0.151229,0.489104
0.0932307,0.151229,0.491525
0.0930442,0.151229,0.493947
0.09295,0.151229,0.496368
0.0928511,0.151229,0.498789
0.0926825,0.151859,0.498789
0.0926476,0.152489,0.498789
0.0925686,0.153119,0.498789
0.0925629,0.153749,0.498789
0.092492,0.154379,0.498789
0.0923494,0.15564,0.498789
0.0922507,0.15627,0.498789
0.0920644,0.1569,0.498789
0.0917975,0.15753,0.498789
0.0917783,0.15816,0.498789
0.0917416,0.15879,0.498789
0.0915814,0.15942,0.498789
0.0913448,0.16005,0.498789
0.0913429,0.160681,0.498789
0.0909302,0.161311,0.498789
0.0907795,0.161941,0.498789
0.0907778,0.162571,0.498789
0.0907652,0.163201,0.498789
0.0907108,0.163831,0.498789
0.0907081,0.164461,0.498789
0.090341,0.165091,0.498789
0.0903263,0.165721,0.498789
0.0900071,0.166352,0.498789
0.0897189,0.166982,0.498789
0.0896983,0.167612,0.498789
0.0894782,0.168242,0.498789
0.0894566,0.168872,0.498789
0.0892931,0.169502,0.498789
0.0891119,0.170132,0.498789
0.0883543,0.170762,0.498789
0.0881949,0.170762,0.501211
0.0879484,0.171393,0.501211
0.0878167,0.172023,0.501211
0.0877935,0.172023,0.503632
0.0876559,0.172653,0.503632
0.0873706,0.173283,0.503632
0.0872043,0.173913,0.503632
0.0871543,0.174543,0.503632
0.0870525,0.175803,0.503632
0.0867836,0.176434,0.503632
0.0865226,0.177064,0.503632
0.0865172,0.177694,0.503632
0.0864763,0.177694,0.506053
0.0864179,0.177694,0.508475
0.0863461,0.178324,0.508475
0.086303,0.178324,0.510896
0.0863006,0.178954,0.510896
0.0862371,0.178954,0.513317
0.08621,0.179584,0.513317
0.0860749,0.179584,0.515738
0.0859889,0.179584,0.51816
0.0858693,0.179584,0.520581
0.0855014,0.180214,0.520581
0.0854944,0.180844,0.520581
0.0854391,0.180844,0.523002
0.0854201,0.181474,0.523002
0.0853251,0.182105,0.523002
0.0852834,0.182735,0.523002
0.0851501,0.182735,0.525424
0.0850452,0.182735,0.527845
0.0849914,0.183365,0.527845
0.084947,0.183995,0.527845
0.0848382,0.184625,0.527845
0.0844289,0.184625,0.530266
0.0838948,0.185255,0.530266
0.0837852,0.185885,0.530266
0.0837074,0.185885,0.532688
0.0835896,0.185885,0.535109
0.0835263,0.186515,0.535109
0.0834381,0.186515,0.53753
0.0832088,0.187146,0.53753
0.0828996,0.187146,0.539952
0.0827877,0.187776,0.539952
0.0827643,0.188406,0.539952
0.0825767,0.189666,0.539952
0.0824205,0.190296,0.539952
0.0823649,0.190296,0.542373
0.0823044,0.190926,0.542373
0.0822805,0.190926,0.544794
0.0821346,0.191556,0.544794
0.0820405,0.192187,0.544794
0.0817924,0.192817,0.544794
0.0816379,0.193447,0.544794
0.0814781,0.194077,0.544794
0.0814772,0.194077,0.547215
0.0813564,0.194707,0.547215
0.0810806,0.195337,0.547215
0.0810435,0.195967,0.547215
0.080985,0.196597,0.547215
0.0809478,0.197227,0.547215
0.0806996,0.197227,0.549637
0.0805792,0.197227,0.552058
0.0805721,0.197227,0.554479
0.0804744,0.197858,0.554479
0.0804655,0.197858,0.556901
0.0802731,0.197858,0.559322
0.0799515,0.197858,0.561743
0.0799427,0.198488,0.561743
0.0798844,0.199118,0.561743
0.0798216,0.199748,0.561743
0.0796201,0.200378,0.561743
0.0795155,0.200378,0.564165
0.0794836,0.200378,0.566586
0.0793033,0.201008,0.566586
0.0793019,0.201638,0.566586
0.0791895,0.202268,0.566586
0.0791893,0.202899,0.566586
0.0790623,0.202899,0.569007
0.0789575,0.203529,0.569007
0.0786091,0.204159,0.569007
0.0785302,0.204789,0.569007
0.0783404,0.205419,0.569007
0.0782818,0.205419,0.571429
0.0782622,0.206049,0.571429
0.0782577,0.206679,0.571429
0.0782576,0.206679,0.57385
0.0782224,0.207309,0.57385
0.0781949,0.20794,0.57385
0.0781524,0.20857,0.57385
0.0779449,0.2092,0.57385
0.0779362,0.20983,0.57385
0.0778509,0.20983,0.576271
0.0777758,0.21046,0.576271
0.0775628,0.21109,0.576271
0.0775172,0.21172,0.576271
0.0772637,0.21235,0.576271
0.0771239,0.21298,0.576271
0.0770671,0.213611,0.576271
0.0769778,0.214241,0.576271
0.0769721,0.214871,0.576271
0.0769252,0.215501,0.576271
0.0768913,0.215501,0.578692
0.0767796,0.216131,0.578692
0.076703,0.216761,0.578692
0.0763764,0.217391,0.578692
0.0762874,0.218021,0.578692
0.0762608,0.218021,0.581114
0.0761446,0.218652,0.581114
0.076136,0.219282,0.581114
0.0761226,0.219912,0.581114
